texto,etiqueta
"Oh, dios mio",1
"Problemas para dormir, mente confundida, corazon inquieto. Todo desentonado.",1
"Todo esta mal, retrocede querida, avanza la duda. Permanece en un lugar inquieto e inquieto.",1
"He cambiado mi enfoque a otra cosa, pero sigo preocupado.",1
"Estoy inquieto e inquieto, ya ha pasado un mes, chico. ¿Que quieres decir?",1
"En cada descanso debes estar nervioso, como si algo estuviera mal, pero que demonios.",1
"Me siento asustado, ansioso, ¿que puedo hacer? Y que mi familia o nosotros estemos protegidos :)",1
"¿Alguna vez te has sentido nervioso pero no sabias por que?",1
"No he dormido bien durante 2 dias, es como si estuviera inquieto. ¿por que huh? :([].",1
"Estoy realmente preocupado, quiero llorar.",2
"Siempre inquieto cada noche, aunque no se por que, que esta mal. Raro.",1
"Estoy confundido, no me he sentido bien ultimamente. Cada vez que quiero dormir, siempre me siento inquieto.",1
"A veces lo que se necesita cuando hay un problema es reir hasta que lo olvides, pero cuando lo recuerdas, te sientes inquieto de nuevo.",1
"Resulta que todavia tengo una carga triste blah blah blah.",2
"A veces son tus propios pensamientos los que te ponen ansioso y con miedo de cerrar los ojos, hasta que no puedes dormir.",1
"Cada vez que me despierto, estoy definitivamente nervioso y emocionado.",1
"Solo puedo esperar, aunque me preocupo si esto comienza asi…",1
"Inquieto = sin descanso, inquieto.",1
"He sido la persona mas ansiosa antes de volverme la mas sincera. Tambien fui la persona mas preocupada antes de que todo terminara.",2
"Exitosamente en linea a las 9am. Incluso durmiendo en un estado de inquietud. Que me pasa?",1
"No puedo dormir. Simplemente inquieto por naturaleza.",1
"Ya preocupado por contestar el telefono.",1
"Un poco inquieto. Un poco inquieto. Siempre me siento culpable. Perdon si no he sido lo mejor que he podido ser.",2
"He estado tan inquieto desde esta manana.",1
"Te hace sentir inquieto.",1
"Sonoliento pero inquieto al dormir.",1
"Por que esta cueva...? Ya estoy de mal humor y mi corazon late muy rapido... Estoy muy nervioso. Hay algo mal???",1
"Esta muy ocupado, esta inquieto, dios, que esta pasando?",1
"Estoy roto y fragil, herido, no puedo soportar mas la ansiedad, no puedo soportar el amor. Hasta ahora he sido ignorado, no visto, incluso dejado atras.",2
"Sugiere una cancion que te calme, no se por que de repente aparece este sentimiento de ira / inquietud. Gracias!",1
"Terooosss nervioso huuuu",1
"Por que el corazon de hoy no se siente bien... celoso?, ansioso?, decepcionado?, sintiendome fracasado?",2
"Es un habito desde la escuela primaria: si pienso en algo, me preocupo y no puedo dormir.",1
"Desde ayer no tengo animo, muy sensible, sintiendome inquieto, sorprendido a cada rato, casi se me explota el cerebro.",1
"Esta noche sigue hablando de dinero, estoy tan confundido, que hacer? Una vez dijo que no me preocupe, pero sigue hablando del dinero.",2
"Ultimamente me siento muy inquieto.",1
"Oh Dios, estoy inquieto.",1
"Pero mi corazon sigue inquieto, aunque mi boca hable.",1
"Esperando en la incertidumbre, por favor, sientete ansioso.",1
"He sido la persona mas ansiosa, antes de convertirme en la mas sincera.",2
"Lo leiste cuando lo leiste a RL? Me refiero a la atmosfera, al sentimiento. Es porque soy asi. Lei un AU sobre enfermedades mentales: Mis dias se volvieron inquietos... y ahora tengo miedo.",2
"Ultimamente me siento inquieto, tengo problemas para dormir. Busque en Google y decia que es un sintoma leve de depresion.",2
"Me he sentido inquieto en los ultimos dias, ahora me siento mareado, como si alguien…",1
"Oh no, estoy inquieto. El momento llegara. Camino con Jesus. Entonces mi corazon se calma.",1
"Cada vez que canto una cancion, no se, siempre quiero llorar. Pero no lo hago. Perdon, Dios, me preocupo demasiado.",2
"Controlar la ansiedad no es tan facil como parece.",1
"Desde la pandemia, no he abierto mi laptop por un dia y me siento inquieto, con una carga muy pesada en la vida.",2
"Las personas inquietas y con miedo se notan por como se tocan frecuentemente la cara y se frotan los dedos.",1
"Gr gr sonando con que mi ex crush sea mi juego, Dios",0
"jajaja que chiste",0
"Las hojas tambien estan en espera frente a la PC ... porque la oficina ya no esta en licencia",0
"Gracias a Dios aunque sea solo un paseo",0
"Concepto de adelanto de boda usando la cancion day6 - only, suena bien ga siiih",0
"Sin regreso~",0
"envia mi sc en raro",0
"1.7 malditos anos",0
"Bismillah para el Eid 2021, recibes algunas preguntas, recibes mucho THR",0
"por que esta tardando tanto el llamado a oracion?",0
"Que deberia hacer :-(",0
"Quiero pasar mucho tiempo comprando bocadillos para Eid pero solo me quedan 2 millones, hacer un autorregistro",0
"Me gusta estar agradecido, no crees, si te alejas de un chico, luego no mucho despues el ya tiene nueva novia jajaja quiza se siente guapo pero yo me siento mal por eso jaja te mueves muy rapido, que bueno que estoy contigo <3",0
"molesto",0
"Date prisa bro!",0
"realmente dijo rip",0
"Realmente quiero ver a BTOB mezclando Blowin up y Bull's eye",0
"Me siento feliz hoy",0
"Siento ganas de abofetear a mama",0
"Muy conmovido gracias Jesus",0
"chat.",0
"Mi hermana parece cansada de oirme tocar sunlit smile",0
"Moto otra vez jaja",0
"Espero que la fuerza de mi hermano no decaiga en los ninos",0
"por suerte no es poster del album",0
"Como estas?",0
"Si amor, ganamos",0
"Esta manana huelo muy bien",0
"por que esta persona habla de canastas de regalo bla bla. si se las dan, lo quieres o no?",0
"Limpieza de cuarto",0
"Como estas amigo?",0
"Antes que salga el MV de hot sauce de NCT, seamos mejores amigos",0
"siempre habra tai. Asi que no es solo hermoso",0
"Quiero tomarme un dia libre del trabajo y luego llevarla a dar una larga caminata",0
"ni-ki por que? acabo de abrir twt",0
"Este lunes fue muchas veces mas lento que el lunes normal. maldicion",0
"Eres una adiccion que me hace dudar",0
"Cuantas entradas BBL hay ahora? Por que quiero suscribirme pero dice que mi credito no funciona aunque tengo 70 mil",0
"alguien tiene co shpe 5.5? los productos no han llegado hasta ahora?",0
"VAMOS VAMOS ESPIRITU SOLO QUEDAN 2 DIAS DE TRABAJO",0
"Hora de empacar",0
"Compre una camisa por 200, pero nunca la use para salir (solo me la probe cuando llego y luego la guarde), y resulto ser muy grande, asi que la vendi de nuevo, verdad? la vendi en 150, aun es muy caro en ese estado? :(",0
"anoche usando parche aun mas cansado",0
"Soy el que no va a la escuela. Dicen que pague spp.",0
"#doodh. Que pelea",0
"Los extranjeros chinos pueden entrar libremente porque dicen segun el procedimiento los que van a casa son bloqueados aunque tengan prueba negativa sin razon valida, no pasan el regreso... te das cuenta que el gobierno ha herido el corazon de su gente?",0
"La proxima vez sentado en un hospedaje, sabes de que habla la gente, verdad?",0
"Gracias a Dios que el CB termino por Eid",0
"Las palabras no importan, mejor accion?",0
"Realmente odio las balas en la mermelada de pina",0
"Yoo, ¿por que estas nervioso?",1
"Cada vez que escucho que mi amigo quiere ir a juicio, me gusta estar nervioso, no esta claro, necesito apresurarme para limpiarlo tambien, pero si tengo prisa porque veo que la gente tiene miedo, realmente no esta bien :(",1
"Hola Anjir, estos ultimos dias han sido un caos, asi­ que estoy nervioso por que no llegan las tareas. Normalmente hay tareas los lunes o martes y la fecha limite es el miercoles o jueves",1
"Quiero preguntar, pero tengo miedo. Si no preguntas, te pondras aun mas inquieto",1
"Esperando ansiosamente pero mi corazon sigue inquieto aunque mi boca habla",1
"Todavia no he rezado, estoy tan inquieto que quiero rezar, pero aun me da pereza",1
"¿Por que estas tan nervioso? Tienes sentimientos encontrados",1
"¿Por que estas tan nervioso?",1
"Aunque no extraño a nadie pero sigo inquieto",1
"Asi es como me siento... no estoy tranquilo, inquieto, no se por que, me despierto y despierto, mi corazon se siente como si se estuviera acumulando pensando en algo...",1
"Sentirse inquieto",1
"Panico, inquietud en este momento",1
"Faltan 2 semanas para el examen y ya estoy empezando a sentirme inquieta y a tener muchos pensamientos",1
"¿Por que cada vez que hago mi trabajo estoy siempre inquieto, estoy tan mareado, es tan dificil que no puedo concentrarme, por favor?",1
"No tengo ganas de nada",2  
"Me siento vacio",2  
"Todo me da igual",2  
"No quiero seguir asi",2  
"Estoy cansado de fingir",2  
"Nada tiene sentido",2  
"Me estoy apagando",2  
"Estoy harto de todo",2  
"No puedo mas",2  
"Ya no soy yo",2  
"Todo me cuesta",2  
"No veo salida",2  
"Me siento roto",2  
"No valgo nada",2  
"Siento que sobro",2  
"Todo es oscuro",2  
"Quiero desaparecer",2  
"Solo quiero dormir",2  
"Me duele existir",2  
"Estoy perdiendo el control",2  
"Ultimamente no tengo ganas de nada y no se como seguir",2  
"Desde hace tiempo me siento vacio aunque nadie lo note",2  
"A veces todo me da igual y me duele aceptarlo",2  
"Cada dia no quiero seguir asi como si no importara",2  
"Ultimamente estoy cansado de fingir y no encuentro alivio",2  
"Ya nada tiene sentido aunque nadie me lo diga",2  
"A veces me estoy apagando y nadie lo nota",2  
"Cada dia estoy harto de todo como si fuera normal",2  
"No puedo mas y eso me esta consumiendo",2  
"Ultimamente ya no soy yo y lo noto",2  
"Desde hace tiempo todo me cuesta y no mejora",2  
"No veo salida, ni siquiera en lo que amaba",2  
"Me siento roto y no logro recomponerme",2  
"A veces no valgo nada, ni siquiera para mi",2  
"Siento que sobro y que mi presencia estorba",2  
"Todo es oscuro, incluso cuando sale el sol",2  
"Quiero desaparecer y dejar de fingir que estoy bien",2  
"Solo quiero dormir y no despertar jamas",2  
"Me duele existir aunque nadie lo sepa",2  
"Estoy perdiendo el control de todo en mi vida",2  
"No tengo fuerzas para continuar",2  
"Siento que no puedo con esto",2  
"Todo es demasiado para mi",2  
"Me siento invisible",2  
"Nadie nota lo mal que estoy",2  
"Estoy solo aunque este rodeado",2  
"No tengo energia para nada",2  
"Estoy vacio por dentro",2  
"Solo sobrevivo, no vivo",2  
"Fingir me consume",2  
"Cada vez me cuesta mas levantarme",2  
"Estoy perdiendo el interes en todo",2  
"Nada me emociona",2  
"Me siento desconectado del mundo",2  
"No tengo esperanza",2  
"Me siento atrapado en mi cabeza",2  
"Ya no me reconozco",2  
"Estoy roto por dentro",2  
"No me importa nada",2  
"La tristeza no se va",2  
"Estoy agotado mentalmente",2  
"No quiero ver a nadie",2  
"Todo me pesa",2  
"No tengo motivacion",2  
"Ya no tengo ganas de luchar",2  
"Estoy harto de fingir estar bien",2  
"No tengo razones para seguir",2  
"Siento que fallo en todo",2  
"Me siento una carga",2  
"Estoy solo con mis pensamientos",2  
"Estoy cansado de esta rutina vacia",2  
"No me interesa lo que antes amaba",2  
"Siento que no pertenezco a ningun lugar",2  
"Estoy emocionalmente agotado",2  
"Me siento inutil",2  
"Nadie me entiende",2  
"Todo es demasiado complicado ahora",2  
"No tengo ilusion por el futuro",2  
"Siento que estorbo",2  
"Estoy harto de todo y todos",2  
"No se quien soy",2  
"Todo se ve gris ultimamente",2  
"Me cuesta fingir que estoy bien",2  
"No me sale sonreir",2  
"Me cuesta incluso respirar a veces",2  
"Estoy al borde del colapso",2  
"Siento que me estoy derrumbando",2  
"Nadie notaria si desaparezco",2  
"Estoy desconectado de mi mismo",2  
"Me siento sin rumbo",2  
"Ninguna meta me motiva ya",2  
"Todo parece sin sentido",2  
"No tengo ganas de hablar con nadie",2  
"Me siento incomodo conmigo mismo",2  
"No quiero salir de la cama",2  
"Ya nada me importa",2  
"Estoy cansado de existir asi",2  
"Me esfuerzo, pero no es suficiente",2  
"Me siento cada vez mas debil",2  
"No se como pedir ayuda",2  
"Todo me resulta indiferente",2  
"Siento que no avanzo en nada",2  
"Estoy roto emocionalmente",2  
"Me cuesta salir de este estado",2  
"Todo se siente vacio ultimamente",2  
"Estoy al limite de mi resistencia",2  
"Ni siquiera me entiendo a mi mismo",2  
"No tengo razones claras para seguir",2  
"Cada dia es una carga mas",2  
"Mi mente no para de castigarme",2  
"Estoy atrapado en mi tristeza",2  
"Cada vez me cuesta mas vivir",2  
"Estoy viviendo en automatico",2  
"Me siento emocionalmente muerto",2  
"Todo se ha vuelto demasiado dificil",2  
"No tengo ganas de luchar mas",2  
"Solo quiero que esto se detenga",2  
"Nadie sabe lo que estoy pasando",2  
"No me siento en paz en ningun lugar",2  
"Estoy roto y nadie lo nota",2  
"Siento que me hundo lentamente",2  
"Mi alma esta cansada",2  
"Estoy vacio aunque este rodeado de gente",2  
"No hay nada que me motive",2  
"Cada pensamiento me lastima",2  
"No soy capaz de disfrutar nada",2  
"Me siento culpable por todo",2  
"Todo me abruma facilmente",2  
"No tengo palabras para describir mi dolor",2  
"Me cuesta existir dia tras dia",2  
"Estoy emocionalmente paralizado",2  
"Ya no me importa si todo se derrumba",2  
"No siento conexion con nada ni nadie",2  
"Vivir se ha vuelto un castigo",2  
"No puedo sostener esta fachada",2  
"Me ahogo en mi propia mente",2  
"No quiero seguir aparentando que estoy bien",2  
"Estoy perdiendo la fe en mi mismo",2  
"Siento que ya no tengo lugar en este mundo",2  
"Todo lo que hago parece inutil",2  
"Me siento invisible y olvidado",2  
"No puedo escapar de mi tristeza",2  
"Estoy atrapado en pensamientos negativos",2  
"Me invade una angustia constante",2  
"Cada dia es mas dificil que el anterior",2  
"Mi vida se siente suspendida",2  
"Estoy emocionalmente exhausto",2  
"Ni siquiera me reconozco frente al espejo",2  
"No puedo encontrar consuelo en nada",2  
"Siento que no encajo en ningun lugar",2  
"No tengo fuerza para continuar esta vida",2  
"Mi animo esta por el suelo",2  
"Estoy emocionalmente agotado y sin rumbo",2  
"Todo me parece innecesario",2  
"Solo estoy existiendo, no viviendo",2  
"Me siento inutil incluso al intentar mejorar",2  
"Mi mente esta llena de oscuridad",2  
"Estoy sumido en una tristeza sin fin",2  
"Me duele levantarme cada manana",2  
"Cada dia me pesa mas la vida",2  
"Me siento sin direccion, sin metas",2  
"Nadie imagina lo mal que estoy por dentro",2  
"Estoy lleno de pensamientos oscuros que no se van",2  
"No puedo lidiar con esta sensacion constante de vacio",2  
"Estoy cansado de luchar contra mi propia mente",2  
"No veo futuro, solo una repeticion vacia",2  
"Siento que cada paso que doy es en vano",2  
"Me cuesta recordar como era ser feliz",2  
"No quiero seguir fingiendo que tengo control",2  
"Estoy perdido dentro de mi mismo",2  
"No hay nada que me ilusione",2  
"Estoy emocionalmente paralizado y sin energia",2  
"Me esfuerzo por mantenerme firme, pero estoy colapsando",2  
"Cada pensamiento me lleva mas abajo",2  
"Nadie me escucha realmente cuando hablo",2  
"Estoy completamente desconectado de todo",2  
"Ya no puedo distinguir entre tristeza y rutina",2  
"Siento que estoy atrapado en una tormenta sin fin",2  
"Me duele todo sin una razon aparente",2  
"No quiero que nadie me vea asi",2  
"Estoy completamente desgastado emocionalmente",2  
"Mi corazon esta vacio desde hace tiempo",2  
"No queda nada dentro de mi",2  
"Estoy cayendo en un abismo que no tiene fondo",2  
"No se como explicar lo que me pasa",2  
"Siento que no merezco sentirme mejor",2  
"Estoy roto y no se como arreglarme",2  
"Todo lo que hago parece inutil y forzado",2  
"No quiero seguir cargando con esto solo",2  
"Cada dia es un peso mas sobre mis hombros",2  
"Mi mente ya no responde como antes",2  
"No tengo motivacion ni para lo mas simple",2  
"Estoy apagado, como una llama que se extingue",2  
"Solo quiero cerrar los ojos y no sentir mas",2  
"Siento que ya no tengo nada que ofrecer",2  
"Estoy emocionalmente seco, sin ganas ni fe",2  
"Todo lo que antes era luz ahora es sombra",2  
"Ya no tengo fuerzas ni para llorar",2  
"Me siento derrotado cada vez que amanece",2  
"Lo intento pero nada mejora realmente",2  
"No me reconozco cuando me miro",2  
"Siento un vacio que no se llena con nada",2  
"Todo me resulta pesado incluso respirar",2  
"La tristeza me consume lentamente",2  
"Siento que me estoy desmoronando por dentro",2  
"No tengo el control sobre mis emociones",2  
"Cada dia despierto con menos ganas",2  
"Estoy harto de esta sensacion constante",2  
"Nada de lo que hago tiene sentido",2  
"No puedo encontrar un motivo para seguir",2  
"Mi mente esta llena de pensamientos oscuros",2  
"No tengo deseos de socializar con nadie",2  
"Mi tristeza es mas fuerte que yo",2  
"Siento que no hay futuro para mi",2  
"Estoy encerrado en un ciclo sin fin",2  
"No hay luz al final del tunel",2  
"Cada dia se siente igual al anterior",2  
"Mi cuerpo esta pero mi mente no",2  
"No encuentro alegria en nada",2  
"Me cuesta ver lo bueno de la vida",2  
"Estoy solo con mi dolor",2  
"Quisiera desaparecer por un tiempo",2  
"Estoy cansado de aparentar que estoy bien",2  
"Mi corazon se siente pesado todo el tiempo",2  
"Nadie entiende lo que siento de verdad",2  
"Ya no tengo energia para seguir intentando",2  
"Siento que fallo como persona",2  
"Me estoy rindiendo sin quererlo",2  
"Cada momento feliz parece falso",2  
"No tengo fuerzas para levantarme",2  
"Estoy atrapado en pensamientos tristes",2  
"No quiero hablar con nadie nunca",2  
"Estoy llorando por dentro aunque sonria",2  
"Cada paso que doy se siente en vano",2  
"Mi alma esta cansada de luchar",2  
"Estoy perdiendo el interes por todo",2  
"Nadie sabria si me voy",2  
"No veo sentido a lo que hago",2  
"Estoy vacio incluso cuando rio",2  
"Todo me abruma cada vez mas",2  
"Siento que no merezco nada bueno",2  
"Estoy cansado de no ser suficiente",2  
"Me duele vivir en este estado",2  
"Cada intento se vuelve una frustracion",2  
"Estoy desconectado de mis propias emociones",2  
"Ya no me importa nada en absoluto",2  
"No tengo mas ganas de fingir",2  
"Mi vida se siente como una carga",2  

